,Image Link,Brand Image Link,Model,Price,Description
30,https://www.music3000.fr/810104/martin-djr10e-guitare-acoustique-dreadnough-junior-electroacoustique.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN DJR-10E guitare acoustique dreadnough junior électro-acoustique,"789,00€",MARTIN DJR-10E dreadnough junior électro-acoustique CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : Richlite - Particularité : Voyage - Format : Dreadnought - Housse/étui : Housse - Catégorie : Folk - Manche : Bois sélectionné - Fond / éclisses : Sapelli - Gaucher : Non - Pan
31,https://www.music3000.fr/803680/taylor-317e.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR 317e,"1999,00€","TAYLOR 317e V class nouvelle serie Grand pacific de chez taylor en remplacement des serie dreadnought auparavant.Forme : Grand PacificTable : Epicéa Sitka avec barrages V-ClassDos, éclisses : SapeleManche : Acajou TropicalTouche, chevalet : EbèneChevilles : EbèneEchelle : 25-1/2"" (647.7 mm)Frets : 20Sillet : TusqRepères : Gemstone, Italian AcrylicBinding : BlackMécaniques : Taylor NickelPréampli : Expression System2"
32,https://www.music3000.fr/783190/taylor-academy-12en.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR Academy 12e-N,"769,00€",TAYLOR Academy 12e-N
33,https://www.music3000.fr/792388/taylor-150e.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR 150e,"999,00€","Guitare électro-acoustique 12 cordes Dreadnought Table en épicéa de Sitka massif Barrage 12 cordes série 100 Fond et éclisses en noyer laminé Manche en érable Touche en ébène Repères ""points"" 20 frettes Diapason: 648 mm Largeur au sillet: 47,6 mm Sillets de tête et de chevalet NuBone Système de micro Expression 2 Mécaniques miniatures chromées Pickguard noir Cordes Elixir Phosphor Bronze Light (357810) Couleur: Naturel Livrée en housse Fabriquée au Mexique"
34,https://www.music3000.fr/745610/taylor-814ce.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR 814ce,"4299,00€","Select Rosewood, Grand Auditorium, 6-String, Cutaway, ES2 V brass"
35,https://www.music3000.fr/772685/martin-lx1e-guitare-acoustique-little-martin-lx1e-electroacoustique.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN LX1E guitare acoustique little martin lx1e électro-acoustique,"650,00€",MARTIN LX1E little martin lx1e électro-acoustique CARACTERISTIQUES - Table : épicéa Sitka - Cordes : métal - Touche : Richlite - Particularité : Voyage - Barrage : X - Repères : Point - Sillets : Tusq - Chevalet : Richlite - Finition : Vernis satiné - Mécaniques : Fermées - Housse/étui : Houss
36,https://www.music3000.fr/821143/martin-000jr10shawnmendes-guitare-000-junior-shawn-mendes.jpg,https://www.music3000.fr/img/m/4-small_default.jpg,MARTIN 000JR-10-SHAWNMENDES guitare 000 junior shawn mendes,"1049,00€","- Barrage : picéa Sitka  - Catégorie : Folk électroacoustique  - Chevalet : bène  - Coloris : Naturel  - Cordes : Métal  - Cordes d'origine : MA540T  - Diapason (mm) : 609 mm  - lectronique : Fishman Sonitone  - Fond / éclisses : sapélé  - Format : 000  - Housse/étui : Gigbag  - Manche : Sipo certifié FSC  - Mécaniques : Fermées  - Nbre de cordes : 6  - Nbre de frettes : 20  - Table : picéa Sitka  - Touche : Ebène certifié FSC  - Tête : Sapelli  - Specs complémentaires :  - Corps : 000 Junior  - Jonction corps/manche: Tenon / Mortaise  - Barrages: en X scallopés  - Table: Epicéa Sitka FSC  - Dos / Eclisses : Sapele FSC  - Touche : Ebène FSC  - Chevalet : Ebène FSC, gravure ""hirondelle""  - Electronique: Fishman Sonitone  - Finition"
37,https://www.music3000.fr/820821/dowina-chardonnay-gace.jpg,https://www.music3000.fr/img/m/1217-small_default.jpg,DOWINA Chardonnay GACE,"1149,00€",DOWINE Chardonnay GACE
38,https://www.music3000.fr/820777/takamine-gd34ceblk-guitare-electroacoustique-gd34ce-black--housse.jpg,https://www.music3000.fr/img/m/238-small_default.jpg,TAKAMINE GD34CE-BLK guitare électro-acoustique gd34ce black + housse,"897,00€","Grâce à ses rencontres avec des artistes du monde entier, Takamine réalise depuis cinquante ans des guitares à la qualité reconnue. Notamment cette série G qui présente un vaste choix de modèles, de la dreadnought acoustique à la jumbo électroacoustique 12-cordes, à des prix accessibles à tous.  La série 30 possède un large choix de formes et de finitions.  Que vous soyez à la recherche d'une guitare électro-acoustique noire ou d'une guitare acoustique 12 cordes naturelle, vous trouverez forcément votre bonheur avec une table en épicéa massif et un corps en acajou."
39,https://www.music3000.fr/820550/taylor-ad22e.jpg,https://www.music3000.fr/img/m/17-small_default.jpg,TAYLOR AD22e,"1699,00€","Forme Grand Concert Table en acajou massif Barrage V-Class Fond et éclisses en sapele massif Manche en acajou Touche en eucalyptus Repères ""points"" de 4 mm Diapason: 648 mm Largeur au sillet: 44,4 mm Sillet de tête en graphite noir 20 frettes Sillet de chevalet en micarta Système de micro Taylor ES2 Mécaniques Taylor nickelées Couleur: Naturel Livrée en étui Taylor Aero Fabriquée aux USA"
